query,intent
"Do you have umbrella in One Size, under $59?",complex_multicriteria
"Do you have casual loafers in 8, under $73?",complex_multicriteria
"Do you have headphones in One Size, under $48?",complex_multicriteria
gray beanie under $86 in One Size?,complex_multicriteria
brown hat under $58 in One Size?,complex_multicriteria
blue tie under $83 in One Size?,complex_multicriteria
"red basketball shoes in 12, in stock now?",complex_multicriteria
"red gloves in One Size, in stock now?",complex_multicriteria
"Do you have belt in One Size, under $76?",complex_multicriteria
black hiking boots under $63 in 6?,complex_multicriteria
"red casual loafers in 8, in stock now?",complex_multicriteria
"Do you have baseball cap in One Size, under $48?",complex_multicriteria
beige sandals under $66 in 6?,complex_multicriteria
"brown high heels in 6, in stock now?",complex_multicriteria
green socks under $60 in One Size?,complex_multicriteria
white headphones under $38 in One Size?,complex_multicriteria
"purple long sleeve shirt in L, in stock now?",complex_multicriteria
beige flip flops under $41 in 9?,complex_multicriteria
brown running sneakers under $94 in 8?,complex_multicriteria
"Do you have blouse in XS, under $30?",complex_multicriteria
black hat under $84 in One Size?,complex_multicriteria
blue gloves under $94 in One Size?,complex_multicriteria
"Do you have hat in One Size, under $77?",complex_multicriteria
white tie under $65 in One Size?,complex_multicriteria
red headphones under $21 in One Size?,complex_multicriteria
"gray sunglasses in One Size, in stock now?",complex_multicriteria
brown hat under $65 in One Size?,complex_multicriteria
"orange tank top in L, in stock now?",complex_multicriteria
"brown tie in One Size, in stock now?",complex_multicriteria
"green t-shirt in XS, in stock now?",complex_multicriteria
"Do you have headphones in One Size, under $56?",complex_multicriteria
"Do you have hiking boots in 7, under $85?",complex_multicriteria
"Do you have flip flops in 9, under $75?",complex_multicriteria
"brown high heels in 10, in stock now?",complex_multicriteria
"Do you have sunglasses in One Size, under $68?",complex_multicriteria
"blue scarf in One Size, in stock now?",complex_multicriteria
"Do you have belt in One Size, under $88?",complex_multicriteria
blue headphones under $27 in One Size?,complex_multicriteria
"navy hiking boots in 8, in stock now?",complex_multicriteria
"Do you have scarf in One Size, under $33?",complex_multicriteria
"pink blouse in L, in stock now?",complex_multicriteria
red sunglasses under $32 in One Size?,complex_multicriteria
Do you have a loyalty program?,other
Can I return items?,other
What do you recommend?,other
What do you recommend?,other
Do you have a loyalty program?,other
Can I return items?,other
How long is shipping?,other
What's your return policy?,other
Do you ship to Phnom Penh?,other
Can I return items?,other
Do you have a loyalty program?,other
How long is shipping?,other
Do you ship to Phnom Penh?,other
What's your return policy?,other
What do you recommend?,other
Can I return items?,other
How long is shipping?,other
Can I return items?,other
Do you ship to Phnom Penh?,other
Do you have a loyalty program?,other
Do you ship to Phnom Penh?,other
What do you recommend?,other
What do you recommend?,other
What do you recommend?,other
Do you ship to Phnom Penh?,other
Can I return items?,other
What's your return policy?,other
Do you ship to Phnom Penh?,other
Can I return items?,other
How long is shipping?,other
Do you ship to Phnom Penh?,other
How long is shipping?,other
Do you have a loyalty program?,other
What's your return policy?,other
What's your return policy?,other
Can I return items?,other
What do you recommend?,other
Can I return items?,other
What's your return policy?,other
Can I return items?,other
Can I return items?,other
What's your return policy?,other
Do you have a loyalty program?,other
Can I return items?,other
Do you ship to Phnom Penh?,other
Do you have a loyalty program?,other
Do you ship to Phnom Penh?,other
Can I return items?,other
How long is shipping?,other
What's your return policy?,other
Do you ship to Phnom Penh?,other
Do you ship to Phnom Penh?,other
Do you ship to Phnom Penh?,other
What do you recommend?,other
Do you ship to Phnom Penh?,other
What's your return policy?,other
Can I return items?,other
Can I return items?,other
What's your return policy?,other
What's your return policy?,other
